WEEK_START,NUM_AGENTS,TENURED_AGENTS,TRAINING_AGENTS,ATTENDANCE_RATE,LEADS_PER_AGENT,TOTAL_LEADS,TOTAL_SALES,CLOSE_RATE,AVG_ANNUAL_PREMIUM,BUSINESS_DAYS,COST_PER_CALL,OVERHEAD_COST_FROM_DATA,PREFERRED_SALES,STANDARD_SALES,GRADED_SALES,GI_SALES,PREFERRED_PCT,STANDARD_PCT,GRADED_PCT,GI_PCT,AVG_COMMISSION_RATE
2024-05-06,86,75,11,0.8313,17.35,1240,117,0.095,1968.48,5,71.58,182651.26,37,49,18,13,0.3162,0.4188,0.1538,0.1111,1.4139
2024-05-13,86,76,10,0.8319,17.94,1283,131,0.1029,1957.96,5,71.25,182007.72,46,51,18,16,0.3511,0.3893,0.1374,0.1221,1.4132
2024-05-20,88,79,9,0.8064,18.27,1296,146,0.1132,1925.99,5,71.26,183538.19,54,55,21,16,0.3699,0.3767,0.1438,0.1096,1.418
2024-05-27,87,77,10,0.841,18.22,1333,144,0.108,1952.79,5,69.98,170950.01,52,53,23,16,0.3611,0.3681,0.1597,0.1111,1.412
2024-06-03,87,76,11,0.799,18.66,1297,132,0.1022,1934.59,5,68.21,183342.98,48,51,19,14,0.3636,0.3864,0.1439,0.1061,1.4199
2024-06-10,92,83,9,0.8288,18.01,1373,144,0.1053,1954.54,5,70.15,181083.8,50,57,21,16,0.3472,0.3958,0.1458,0.1111,1.4165
2024-06-17,89,78,11,0.8529,19.16,1454,166,0.1147,1976.49,5,68.65,187967.86,54,71,22,19,0.3253,0.4277,0.1325,0.1145,1.419
2024-06-24,90,82,8,0.8051,17.79,1031,110,0.1072,2013.44,4,71.95,189106.6,35,44,17,14,0.3182,0.4,0.1545,0.1273,1.4048
2024-07-01,89,79,10,0.8115,20.18,1457,165,0.1138,1900.49,5,69.71,200989.76,55,67,27,16,0.3333,0.4061,0.1636,0.097,1.4185
2024-07-08,90,80,10,0.8215,18.5,1367,155,0.1138,2035.32,5,68.35,193191.63,57,64,18,16,0.3677,0.4129,0.1161,0.1032,1.4305
2024-07-15,92,83,9,0.8124,17.31,1294,143,0.1106,1871.92,5,69.36,180580.85,52,56,20,15,0.3636,0.3916,0.1399,0.1049,1.4219
2024-07-22,91,81,10,0.7967,17.14,1242,159,0.1284,1943.93,5,70.83,177616.6,49,68,25,17,0.3082,0.4277,0.1572,0.1069,1.4151
2024-07-29,93,85,8,0.821,18.39,1403,168,0.1203,1973.53,5,68.87,188347.12,57,68,24,19,0.3393,0.4048,0.1429,0.1131,1.4164
2024-08-05,92,83,9,0.8041,17.82,1318,138,0.1053,1961.24,5,68.36,173457.74,46,54,22,16,0.3333,0.3913,0.1594,0.1159,1.4094
2024-08-12,93,83,10,0.8271,18.57,1428,170,0.1196,1925.09,5,70.49,198279.12,62,67,24,17,0.3647,0.3941,0.1412,0.1,1.4241
2024-08-19,93,82,11,0.8062,18.38,1377,158,0.1154,1941.68,5,70.49,192670.82,56,60,23,19,0.3544,0.3797,0.1456,0.1203,1.4116
2024-08-26,97,88,9,0.8432,17.94,1467,184,0.1255,1930.28,5,68.99,179089.73,63,71,28,22,0.3424,0.3859,0.1522,0.1196,1.4098
2024-09-02,95,86,9,0.8083,17.32,1330,155,0.1166,1926.43,5,69.06,168745.9,51,62,25,17,0.329,0.4,0.1613,0.1097,1.4123
2024-09-09,94,85,9,0.8152,16.79,1286,156,0.1217,1983.98,5,70.46,192889.8,49,65,23,19,0.3141,0.4167,0.1474,0.1218,1.4101
2024-09-16,97,87,10,0.8322,17.64,1424,179,0.1264,1964.28,5,67.1,180750.35,64,68,28,19,0.3575,0.3799,0.1564,0.1061,1.4158
2024-09-23,95,85,10,0.8015,18.69,1422,184,0.1295,1922.28,5,67.19,191177.04,67,74,26,17,0.3641,0.4022,0.1413,0.0924,1.4283
2024-09-30,97,88,9,0.8234,18.17,1451,171,0.1181,1985.98,5,68.56,168126.93,59,70,25,17,0.345,0.4094,0.1462,0.0994,1.4228
2024-10-07,95,85,10,0.8396,17.0,1356,168,0.1243,1962.29,5,69.57,175695.2,59,64,23,22,0.3512,0.381,0.1369,0.131,1.4085
2024-10-14,96,86,10,0.7959,18.14,1385,172,0.1244,1982.51,5,70.62,180139.99,58,67,27,20,0.3372,0.3895,0.157,0.1163,1.41
2024-10-21,99,89,10,0.8228,18.31,1491,185,0.1243,1975.19,5,72.95,180081.73,64,73,27,21,0.3459,0.3946,0.1459,0.1135,1.4151
2024-10-28,100,91,9,0.8239,17.29,1424,199,0.1398,1916.84,5,71.72,175713.2,68,79,30,22,0.3417,0.397,0.1508,0.1106,1.4152
2024-11-04,100,91,9,0.8317,18.12,1507,199,0.1326,1927.59,5,69.68,183904.37,66,77,36,20,0.3317,0.3869,0.1809,0.1005,1.4109
2024-11-11,100,91,9,0.8014,18.05,1446,178,0.1236,1979.89,5,69.96,169988.45,58,69,28,23,0.3258,0.3876,0.1573,0.1292,1.4028
2024-11-18,100,92,8,0.8002,17.09,1367,188,0.1377,1974.41,5,67.99,176998.22,63,77,28,20,0.3351,0.4096,0.1489,0.1064,1.4181
2024-11-25,99,89,10,0.8278,18.29,1498,218,0.1459,1949.16,5,69.96,178707.46,80,81,34,23,0.367,0.3716,0.156,0.1055,1.4163
2024-12-02,100,90,10,0.8245,18.45,1521,213,0.1403,1954.69,5,69.42,181468.45,75,82,31,25,0.3521,0.385,0.1455,0.1174,1.4131
2024-12-09,101,91,10,0.8238,18.87,1569,197,0.126,2001.11,5,70.65,182653.7,69,80,24,24,0.3503,0.4061,0.1218,0.1218,1.4184
2024-12-16,104,95,9,0.8252,18.84,1293,172,0.1332,1926.34,4,68.35,167571.49,60,70,23,19,0.3488,0.407,0.1337,0.1105,1.4208
2024-12-23,104,96,8,0.8098,16.9,1423,205,0.1447,1971.88,5,71.04,163903.56,73,86,25,21,0.3561,0.4195,0.122,0.1024,1.429
2024-12-30,101,92,9,0.8235,17.25,1434,191,0.1338,1941.91,5,73.07,186005.73,67,74,28,22,0.3508,0.3874,0.1466,0.1152,1.414
2025-01-06,104,95,9,0.8244,18.41,1578,223,0.1417,1941.29,5,69.78,178050.67,78,86,32,27,0.3498,0.3857,0.1435,0.1211,1.4118
2025-01-13,104,95,9,0.8093,18.41,1239,179,0.1446,1993.95,4,70.8,169012.11,61,69,29,20,0.3408,0.3855,0.162,0.1117,1.4109
